Generation,Round,Node,Algorithm,added_s_overhead,added_g_overhead,added_h_overhead
4,13,15,Heuristic,288,1072,1189
4,14,2,Greedy,336,1192,1318
4,14,2,Heuristic,336,1192,1318
4,14,9,Greedy,496,1248,1374
4,14,9,Heuristic,496,1248,1374
4,14,19,Greedy,376,1208,1173
4,14,19,Heuristic,376,1208,1173
4,15,6,Greedy,376,1408,1543
4,15,6,Heuristic,376,1408,1543
4,19,14,Greedy,512,1952,1519
4,19,14,Heuristic,512,1952,1519
4,19,18,Simple,760,2312,2483
4,20,10,Simple,880,2424,1759
4,20,12,Simple,784,2136,2316
4,21,2,Simple,768,2312,1487
4,21,3,Simple,880,2480,1317
4,22,0,Simple,864,2536,1382
4,22,8,Simple,928,2568,2766
4,23,4,Simple,984,2800,1486
4,23,9,Simple,1120,2688,2895
4,23,17,Greedy,928,2328,1182
4,23,17,Heuristic,928,2328,1182
4,25,7,Simple,1112,2992,2203
4,25,16,Simple,992,2312,741
4,25,16,Greedy,992,2312,741
4,25,16,Heuristic,992,2312,741
4,26,5,Simple,1248,3408,1614
4,26,6,Simple,1080,3168,2219
4,28,11,Simple,1384,3672,1558
4,28,15,Simple,1216,3472,1358
4,30,1,Simple,1552,3880,2967
4,30,17,Simple,1416,3448,1182
4,31,13,Simple,1600,4032,1438
4,31,19,Simple,1432,3928,1173
4,32,14,Simple,1392,4032,1519
5,8,18,Greedy,240,664,736
5,8,18,Heuristic,240,664,736
5,9,3,Greedy,240,736,817
5,9,3,Heuristic,240,736,817
5,9,7,Greedy,168,752,833
5,9,7,Heuristic,168,752,833
5,9,10,Greedy,248,752,833
5,9,10,Heuristic,248,752,833
5,10,11,Greedy,248,840,930
5,10,11,Heuristic,248,840,930
5,12,0,Greedy,392,952,1060
5,12,0,Heuristic,392,952,1060
5,12,5,Greedy,448,992,1100
5,12,5,Heuristic,448,992,1100
5,12,6,Greedy,360,928,1036
5,12,6,Heuristic,360,928,1036
5,12,8,Greedy,304,1016,1124
5,12,8,Heuristic,304,1016,1124
5,12,15,Greedy,256,984,1092
5,12,15,Heuristic,256,984,1092
5,13,1,Greedy,416,1104,1221
5,13,1,Heuristic,416,1104,1221
5,13,12,Greedy,312,1032,1149
5,13,12,Heuristic,312,1032,1149
5,14,2,Greedy,544,1184,1012
5,14,2,Heuristic,544,1184,1012
5,14,19,Greedy,344,1160,1286
5,14,19,Heuristic,344,1160,1286
5,16,4,Greedy,496,1176,1320
5,16,4,Heuristic,496,1176,1320
5,16,14,Greedy,472,1392,948
5,16,14,Heuristic,472,1392,948
5,17,3,Simple,776,2016,2000
5,17,9,Greedy,640,1648,1801
5,17,11,Simple,704,1960,2113
5,18,7,Simple,672,2192,2016
5,18,9,Heuristic,688,1808,1962
5,18,13,Greedy,664,1600,1190
5,18,13,Heuristic,664,1600,1190
5,19,4,Simple,736,1656,1658
5,20,15,Simple,736,2264,1430
5,21,18,Simple,1056,2744,2088
5,22,19,Simple,904,2440,1962
5,23,13,Simple,1064,2400,1190
5,24,5,Simple,1400,2912,2114
5,24,14,Simple,1072,2672,948
5,24,17,Greedy,1096,2136,1482
5,25,1,Simple,1248,3024,3249
5,25,9,Simple,1256,2928,3145
5,25,17,Simple,1144,2296,1482
5,25,17,Heuristic,1144,2296,1482
5,28,10,Simple,1536,3792,1678
5,29,2,Simple,1544,3584,1012
5,30,12,Simple,1624,3752,4022
5,31,6,Simple,1648,3968,1712
5,31,16,Greedy,1256,2920,781
5,32,16,Heuristic,1336,3080,781
5,33,0,Simple,1728,4312,1398
5,35,16,Simple,1576,3560,781
5,36,8,Simple,2144,4856,4504
6,9,10,Greedy,216,648,729
6,9,10,Heuristic,216,648,729
6,10,3,Greedy,312,800,890
6,10,3,Heuristic,312,800,890
6,10,8,Greedy,216,752,842
6,10,8,Heuristic,216,752,842
6,10,11,Greedy,320,744,834
6,10,11,Heuristic,320,744,834
6,10,12,Greedy,208,728,818
6,10,12,Heuristic,208,728,818
6,11,7,Greedy,312,840,939
6,11,7,Heuristic,312,840,939
6,11,18,Greedy,496,968,1067
6,11,18,Heuristic,496,968,1067
6,12,1,Greedy,416,960,1068
6,12,1,Heuristic,416,960,1068
6,12,5,Greedy,272,912,1020
6,12,5,Heuristic,272,912,1020
6,12,9,Greedy,376,1048,1156
6,12,9,Heuristic,376,1048,1156
6,13,0,Greedy,336,984,1101
6,13,0,Heuristic,336,984,1101
6,13,3,Simple,544,1280,1397
6,14,2,Greedy,400,1216,1342
6,14,2,Heuristic,400,1216,1342
6,14,4,Greedy,488,1152,956
6,14,4,Heuristic,488,1152,956
6,15,6,Greedy,408,1352,1487
6,15,6,Heuristic,408,1352,1487
6,15,11,Simple,616,1544,1679
6,15,13,Greedy,568,1280,1415
6,15,13,Heuristic,568,1280,1415
6,15,15,Greedy,392,1328,1463
6,15,15,Heuristic,392,1328,1463
6,15,19,Greedy,392,1184,1319
6,15,19,Heuristic,392,1184,1319
6,17,7,Simple,776,1800,1953
6,19,6,Simple,632,1992,2163
6,19,10,Simple,920,2248,1743
6,19,18,Simple,1024,2248,2419
6,20,12,Simple,768,2328,2508
6,20,14,Simple,952,1960,1359
6,20,14,Greedy,952,1960,1359
6,20,14,Heuristic,952,1960,1359
6,21,0,Simple,936,2264,1270
6,21,8,Simple,992,2512,2701
6,22,15,Simple,824,2448,1463
6,23,2,Simple,1048,2656,1511
6,23,5,Simple,1056,2672,1527
6,24,13,Simple,1152,2720,1415
6,24,16,Greedy,840,2432,674
6,24,16,Heuristic,840,2432,674
6,24,19,Simple,1040,2624,1319
6,25,1,Simple,1160,3040,3265
6,25,4,Simple,1280,2912,956
6,25,9,Simple,1168,3128,3353
6,26,17,Greedy,1096,2600,732
6,28,16,Simple,1136,3072,674
6,28,17,Heuristic,1224,2920,732
6,30,17,Simple,1368,3240,732
7,12,4,Greedy,232,864,972
7,12,4,Heuristic,232,864,972
7,12,5,Greedy,368,1144,1252
7,12,5,Heuristic,368,1144,1252
7,12,8,Greedy,256,880,988
7,12,8,Heuristic,256,880,988
7,12,9,Greedy,240,832,940
7,12,9,Heuristic,240,832,940
7,12,10,Greedy,336,768,876
7,12,10,Heuristic,336,768,876
7,13,1,Greedy,360,1064,1181
7,13,1,Heuristic,360,1064,1181
7,13,3,Greedy,328,944,1061
7,13,3,Heuristic,328,944,1061
7,13,6,Greedy,344,1056,1173
7,13,6,Heuristic,344,1056,1173
7,13,14,Greedy,304,952,1069
7,13,14,Heuristic,304,952,1069
7,13,18,Greedy,328,1056,1173
7,13,18,Heuristic,328,1056,1173
7,14,2,Greedy,352,1152,1278
7,14,2,Heuristic,352,1152,1278
7,14,7,Greedy,288,1024,1150
7,14,7,Heuristic,288,1024,1150
7,14,11,Greedy,496,1288,1414
7,14,11,Heuristic,496,1288,1414
7,14,12,Greedy,296,1144,1270
7,14,12,Heuristic,296,1144,1270
7,14,13,Greedy,400,1144,1270
7,14,13,Heuristic,400,1144,1270
7,16,16,Greedy,392,1384,1214
7,16,16,Heuristic,392,1384,1214
7,18,3,Simple,688,1744,1230
7,18,4,Simple,656,1824,1310
7,18,5,Simple,784,2104,1590
7,19,8,Simple,776,2000,2171
7,19,11,Simple,816,2088,2259
7,19,19,Greedy,520,1512,1675
7,19,19,Heuristic,520,1512,1675
7,20,9,Simple,768,2112,2292
7,20,12,Simple,760,2104,1608
7,21,16,Simple,736,2184,1214
7,22,0,Simple,912,1728,870
7,22,10,Simple,1056,2368,2566
7,22,18,Simple,1008,2496,1342
7,23,7,Simple,848,2464,2671
7,23,13,Simple,1096,2584,2115
7,24,0,Greedy,1072,2032,870
7,24,0,Heuristic,1072,2032,870
7,24,15,Greedy,712,2128,1611
7,24,15,Heuristic,712,2128,1611
7,24,19,Simple,896,2312,2520
7,26,1,Simple,1280,3144,3378
7,26,6,Simple,1032,3136,1342
7,27,2,Simple,1272,3232,2968
7,29,15,Simple,1144,2928,1611
7,30,14,Simple,1496,3672,1238
7,31,17,Greedy,1384,3024,845
7,31,17,Heuristic,1384,3024,845
7,32,17,Simple,1464,3184,845
8,9,3,Greedy,184,712,793
8,9,3,Heuristic,184,712,793
8,9,18,Greedy,128,640,721
8,9,18,Heuristic,128,640,721
8,10,10,Greedy,216,720,810
8,10,10,Heuristic,216,720,810
8,10,11,Greedy,152,592,682
8,10,11,Heuristic,152,592,682
8,12,2,Greedy,304,840,948
8,12,2,Heuristic,304,840,948
8,12,6,Greedy,200,880,988
8,12,6,Heuristic,200,880,988
8,13,7,Greedy,280,1120,1237
8,13,7,Heuristic,280,1120,1237
8,13,12,Greedy,312,960,1077
8,13,12,Heuristic,312,960,1077
8,14,8,Greedy,384,1104,1230
8,14,8,Heuristic,384,1104,1230
8,15,1,Greedy,496,1440,1575
8,15,1,Heuristic,496,1440,1575
8,15,4,Greedy,488,1304,1439
8,15,4,Heuristic,488,1304,1439
8,15,15,Greedy,272,920,1055
8,15,15,Heuristic,272,920,1055
8,15,19,Greedy,384,1064,1199
8,15,19,Heuristic,384,1064,1199
8,16,9,Greedy,560,1512,1656
8,16,9,Heuristic,560,1512,1656
8,17,5,Greedy,480,1632,1785
8,17,5,Heuristic,480,1632,1785
8,17,17,Greedy,656,1560,1552
8,17,17,Heuristic,656,1560,1552
8,18,0,Greedy,352,1688,1238
8,18,4,Simple,688,1784,1777
8,19,0,Heuristic,392,1848,1238
8,20,9,Simple,832,2152,1825
8,20,11,Simple,616,2192,2372
8,20,13,Greedy,608,1904,1609
8,20,13,Heuristic,608,1904,1609
8,20,15,Simple,640,1720,1055
8,21,5,Simple,800,2272,2292
8,21,14,Greedy,704,2200,1165
8,21,14,Heuristic,704,2200,1165
8,21,19,Simple,752,2024,2044
8,22,3,Simple,1016,2792,2145
8,22,10,Simple,888,2640,2331
8,23,13,Simple,776,2384,1609
8,24,1,Simple,1192,2880,2420
8,24,6,Simple,888,2800,2509
8,25,7,Simple,1024,3040,2589
8,25,16,Greedy,840,2432,966
8,25,17,Simple,1224,2840,1552
8,26,2,Simple,1112,3080,2131
8,26,8,Simple,1096,3024,3258
8,26,16,Heuristic,904,2592,966
8,27,12,Simple,1160,3200,3274
8,29,14,Simple,1288,3480,1165
8,31,0,Simple,1184,3768,1238
8,31,18,Simple,1440,4160,2749
8,34,16,Simple,1512,3872,966
9,10,3,Greedy,256,784,874
9,10,3,Heuristic,256,784,874
9,11,18,Greedy,352,912,1011
9,11,18,Heuristic,352,912,1011
9,12,4,Greedy,296,1024,1132
9,12,4,Heuristic,296,1024,1132
9,12,7,Greedy,280,960,1068
9,12,7,Heuristic,280,960,1068
9,12,11,Greedy,400,928,1036
9,12,11,Heuristic,400,928,1036
9,12,12,Greedy,248,888,996
9,12,12,Heuristic,248,888,996
9,13,5,Greedy,336,1248,1365
9,13,5,Heuristic,336,1248,1365
9,13,6,Greedy,408,1120,1237
9,13,6,Heuristic,408,1120,1237
9,13,8,Greedy,360,1072,1189
9,13,8,Heuristic,360,1072,1189
9,13,10,Greedy,360,1016,1133
9,13,10,Heuristic,360,1016,1133
9,14,2,Greedy,376,1216,1342
9,14,2,Heuristic,376,1216,1342
9,15,0,Greedy,488,1384,1358
9,15,0,Heuristic,488,1384,1358
9,15,13,Greedy,440,1296,1431
9,15,13,Heuristic,440,1296,1431
9,15,14,Greedy,416,1360,1173
9,15,14,Heuristic,416,1360,1173
9,16,1,Greedy,512,1304,1448
9,16,1,Heuristic,512,1304,1448
9,17,9,Greedy,488,1504,1657
9,17,9,Heuristic,488,1504,1657
9,21,10,Simple,1008,2296,1471
9,21,19,Greedy,832,2136,2293
9,21,19,Heuristic,832,2136,2293
9,22,3,Simple,936,2704,1381
9,22,8,Simple,928,2512,2710
9,23,18,Simple,1008,2832,1687
9,24,15,Greedy,920,2224,1965
9,25,6,Simple,1120,3040,1575
9,25,15,Heuristic,1024,2384,1965
9,27,2,Simple,1192,3296,1511
9,27,5,Simple,1416,3488,2041
9,27,14,Simple,1248,3280,1173
9,29,7,Simple,1440,3680,3265
9,29,16,Simple,1160,2568,709
9,29,16,Greedy,1160,2568,709
9,29,16,Heuristic,1160,2568,709
9,30,11,Simple,1624,3808,3233
9,30,12,Simple,1528,3768,3869
9,30,15,Simple,1352,3184,1965
9,31,0,Simple,1688,3944,1358
9,31,9,Simple,1480,3744,4023
9,31,17,Greedy,1328,2240,809
9,31,17,Heuristic,1328,2240,809
9,32,1,Simple,1568,3864,3983
9,32,13,Simple,1736,4016,2445
9,32,19,Simple,1736,3896,2969
9,33,17,Simple,1496,2560,809
9,36,4,Simple,2064,4864,1977
10,8,3,Greedy,256,568,640
10,8,3,Heuristic,256,568,640
10,9,18,Greedy,232,736,817
10,9,18,Heuristic,232,736,817
10,11,10,Greedy,304,1008,1107
10,11,10,Heuristic,304,1008,1107
10,12,9,Greedy,328,1008,1116
10,12,9,Heuristic,328,1008,1116
10,12,12,Greedy,288,808,916
10,12,12,Heuristic,288,808,916
10,13,0,Greedy,304,984,1101
10,13,0,Heuristic,304,984,1101
10,13,8,Greedy,336,1088,1205
10,13,8,Heuristic,336,1088,1205
10,13,13,Greedy,392,928,1045
10,13,13,Heuristic,392,928,1045
10,14,3,Simple,696,1528,1654
10,14,5,Greedy,584,1408,1534
10,14,5,Heuristic,584,1408,1534
10,14,7,Greedy,480,1408,1534
10,14,7,Heuristic,480,1408,1534
10,15,4,Greedy,432,1280,1254
10,15,4,Heuristic,432,1280,1254
10,16,6,Greedy,640,1448,1592
10,16,6,Heuristic,640,1448,1592
10,16,11,Greedy,656,1648,1792
10,16,11,Heuristic,656,1648,1792
10,17,1,Greedy,632,1456,1601
10,17,10,Simple,704,1968,2121
10,17,18,Simple,856,2016,2169
10,17,19,Greedy,536,1560,1713
10,18,1,Heuristic,680,1616,1762
10,19,19,Heuristic,640,1880,2035
10,20,14,Greedy,552,1656,1240
10,21,14,Heuristic,616,1816,1240
10,22,15,Greedy,968,2216,1947
10,22,15,Heuristic,968,2216,1947
10,23,5,Simple,1232,2848,2210
10,25,4,Simple,1176,2880,1254
10,25,7,Simple,1328,3168,2886
10,25,17,Greedy,792,2504,1642
10,25,17,Heuristic,792,2504,1642
10,26,6,Simple,1408,3048,3282
10,26,8,Simple,1056,3168,3402
10,26,9,Simple,1256,3248,3313
10,26,14,Simple,920,2616,1240
10,26,16,Simple,888,2112,645
10,26,16,Greedy,888,2112,645
10,26,16,Heuristic,888,2112,645
10,27,1,Simple,1264,3056,2945
10,27,2,Simple,1144,2744,1336
10,27,2,Greedy,1144,2744,1336
10,27,2,Heuristic,1144,2744,1336
10,32,0,Simple,1520,4024,3467
10,32,12,Simple,1616,4008,3282
10,32,17,Simple,1288,3624,1642
10,32,19,Simple,1576,3960,2542
10,33,11,Simple,1944,4368,2806
10,35,13,Simple,1992,4448,2059
10,46,15,Simple,2720,6056,1947
11,11,12,Greedy,272,864,963
11,11,12,Heuristic,272,864,963
11,12,4,Greedy,336,1152,1260
11,12,4,Heuristic,336,1152,1260
11,12,7,Greedy,280,824,932
11,12,7,Heuristic,280,824,932
11,13,3,Greedy,256,1192,1309
11,13,3,Heuristic,256,1192,1309
11,13,5,Greedy,416,1256,1373
11,13,5,Heuristic,416,1256,1373
11,13,15,Greedy,352,936,1053
11,13,15,Heuristic,352,936,1053
11,14,11,Greedy,552,1384,1510
11,14,11,Heuristic,552,1384,1510
11,15,8,Greedy,448,1352,1487
11,15,8,Heuristic,448,1352,1487
11,15,10,Greedy,456,1416,1551
11,15,10,Heuristic,456,1416,1551
11,15,13,Greedy,520,1320,1455
11,15,13,Heuristic,520,1320,1455
11,16,6,Greedy,384,1344,1488
11,16,6,Heuristic,384,1344,1488
11,16,9,Greedy,536,1560,1704
11,16,9,Heuristic,536,1560,1704
11,16,18,Greedy,472,1568,1712
11,16,18,Heuristic,472,1568,1712
11,17,1,Greedy,576,1592,1745
11,17,1,Heuristic,576,1592,1745
11,17,2,Greedy,456,1656,1809
11,17,2,Heuristic,456,1656,1809
11,18,0,Greedy,584,1744,1745
11,18,0,Heuristic,584,1744,1745
11,18,16,Greedy,544,1568,1271
11,18,16,Heuristic,544,1568,1271
11,19,10,Simple,744,2056,2058
11,19,18,Simple,744,2048,2219
11,20,0,Simple,672,2064,1745
11,21,2,Simple,752,2296,1978
11,21,19,Greedy,904,2064,1351
11,21,19,Heuristic,904,2064,1351
11,22,8,Simple,960,2472,1994
11,23,6,Simple,864,2464,2671
11,23,7,Simple,1128,2584,2791
11,24,14,Simple,728,1880,1080
11,25,14,Greedy,776,2024,1080
11,25,14,Heuristic,776,2024,1080
11,25,15,Simple,1368,2856,2405
11,26,19,Simple,1264,2864,1351
11,27,11,Simple,1536,3464,2693
11,30,12,Simple,1576,3904,2146
11,30,17,Greedy,904,2704,1289
11,33,3,Simple,1504,4392,1816
11,33,9,Simple,1840,4280,4577
11,33,17,Heuristic,1080,3184,1289
11,34,4,Simple,1912,4672,1936
11,35,16,Simple,1712,4288,1271
11,36,5,Simple,2184,4936,2049
11,36,13,Simple,2352,4680,2469
